PRIM_STATE,OCC_CODE,OCC_TITLE,TOT_EMP,A_MEAN,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
AR,25-1081,"Education Teachers, Postsecondary",320,"70,720","46,270","58,540","65,020","80,940","99,260"
AR,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",110,"60,160","46,440","47,770","57,610","61,730","73,910"
AR,25-1112,"Law Teachers, Postsecondary",110,"117,840","38,000","50,950","107,890","161,470",#
AR,25-1113,"Social Work Teachers, Postsecondary",120,"70,590","44,250","49,990","65,670","82,660","108,260"
AR,25-1121,"Art, Drama, and Music Teachers, Postsecondary",620,"76,660","45,330","49,350","63,620","80,650","104,160"
AR,25-1122,"Communications Teachers, Postsecondary",220,"63,440","41,710","50,060","61,590","71,490","92,360"
AR,25-1123,"English Language and Literature Teachers, Postsecondary",520,"68,010","45,810","47,540","62,070","76,010","98,040"
AR,25-1124,"Foreign Language and Literature Teachers, Postsecondary",250,"67,120","48,200","52,150","63,460","78,240","80,430"
AR,25-1125,"History Teachers, Postsecondary",460,"55,560","22,880","24,110","47,570","76,160","81,650"
AR,25-1126,"Philosophy and Religion Teachers, Postsecondary",120,"72,800","64,680","65,530","73,940","76,390","78,880"
AR,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",190,"67,110","48,900","59,300","61,490","72,080","83,390"
AR,25-1194,"Career/Technical Education Teachers, Postsecondary","1,730","54,080","34,900","43,380","47,460","62,940","78,110"
AR,25-1199,"Postsecondary Teachers, All Other","1,090","56,760","24,670","30,630","55,170","64,690","97,250"
AR,25-2011,"Preschool Teachers, Except Special Education","2,560","37,000","25,470","26,970","30,050","46,700","55,160"
AR,25-2012,"Kindergarten Teachers, Except Special Education","1,640","52,790","40,460","48,220","50,260","58,190","62,920"
AR,25-2021,"Elementary School Teachers, Except Special Education","12,510","54,400","41,750","49,310","50,550","59,580","64,680"
AR,25-2022,"Middle School Teachers, Except Special and Career/Technical Education","6,590","56,700","46,560","49,740","56,980","62,770","71,490"
AR,25-2023,"Career/Technical Education Teachers, Middle School",70,"58,880","51,310","52,720","59,080","62,930","70,530"
AR,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education","12,190","56,820","47,120","49,450","56,890","62,110","73,460"
AR,25-2032,"Career/Technical Education Teachers, Secondary School","1,050","60,220","49,110","52,200","60,060","63,630","73,950"
AR,25-2051,"Special Education Teachers, Preschool",400,"36,390","26,280","26,980","35,220","43,750","50,160"
AR,25-2052,"Special Education Teachers, Kindergarten and Elementary School","1,310","54,390","45,600","49,160","51,590","59,390","63,980"
AR,25-2057,"Special Education Teachers, Middle School",760,"55,770","44,830","49,690","53,660","60,470","65,070"
AR,25-2058,"Special Education Teachers, Secondary School","1,440","54,600","45,310","48,910","53,350","59,910","64,910"
AR,25-2059,"Special Education Teachers, All Other",**,"60,210","43,920","49,920","57,260","69,900","72,630"
AR,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",230,"48,970","29,510","43,740","47,760","58,700","64,170"
AR,25-3021,Self-Enrichment Teachers,950,"34,720","24,270","27,490","31,950","37,490","49,490"
AR,25-3031,"Substitute Teachers, Short-Term","1,810","40,230","23,620","28,000","28,490","29,290","32,760"
AR,25-3041,Tutors,390,"44,770","27,300","28,620","30,670","53,240","64,790"
AR,25-3099,"Teachers and Instructors, All Other",550,"55,580","24,000","30,050","48,090","72,550","98,550"
AR,25-4011,Archivists,50,"63,700","25,670","38,470","55,030","98,550","110,140"
AR,25-4012,Curators,90,"67,580","37,590","44,340","55,040","74,360","98,250"
AR,25-4013,Museum Technicians and Conservators,80,"44,090","29,800","36,400","43,810","49,750","60,290"
AR,25-4022,Librarians and Media Collections Specialists,"1,470","54,530","31,190","47,020","56,770","62,640","73,410"
AR,25-4031,Library Technicians,440,"32,180","25,710","26,140","30,790","35,580","38,220"
AR,25-9021,Farm and Home Management Educators,200,"51,980","36,900","41,810","49,340","58,650","71,440"
AR,25-9031,Instructional Coordinators,"1,290","70,640","44,100","56,000","65,040","78,720","93,870"
AR,25-9044,"Teaching Assistants, Postsecondary","2,720","32,630","23,410","24,500","26,890","39,160","48,650"
AR,25-9045,"Teaching Assistants, Except Postsecondary","10,430","33,300","23,820","27,230","29,270","36,140","46,900"
AR,25-9099,"Educational Instruction and Library Workers, All Other",150,"49,150","31,920","33,480","43,510","61,960","75,900"
AR,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","12,080","52,200","28,230","33,830","42,090","59,150","88,180"
AR,27-1011,Art Directors,140,"75,590","41,650","59,020","67,320","84,870","129,970"
AR,27-1021,Commercial and Industrial Designers,230,"92,920","55,310","60,840","80,340","104,660","134,510"
AR,27-1022,Fashion Designers,170,*,*,*,*,*,*
